onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0171	1.6266000000000016	control	1.6266000000000016	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0253	1.2933000000000003	control	1.2933000000000003	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.0335	0.8689	control	0.8689	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0417	0.8316000000000017	control	0.8316000000000017	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
30.05	0.9170999999999978	control	0.9170999999999978	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
35.0582	0.6587999999999994	control	0.6587999999999994	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
40.0664	1.7543999999999969	emotion	1.7543999999999969	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0746	1.7761000000000067	emotion	1.7761000000000067	right	correct	n/a	male	black	black	black	anger
50.0828	1.2447000000000017	emotion	1.2447000000000017	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0911	1.148300000000006	emotion	1.148300000000006	left	correct	n/a	male	black	black	black	fear
60.0993	1.5118999999999971	emotion	1.5118999999999971	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1075	1.3115999999999985	emotion	1.3115999999999985	right	correct	n/a	female	asian	black	asian	fear
70.1157	0.8322999999999894	control	0.8322999999999894	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1239	0.5338999999999885	control	0.5338999999999885	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1322	0.5594999999999999	control	0.5594999999999999	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1404	0.6770999999999958	control	0.6770999999999958	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1486	2.111699999999999	control	2.111699999999999	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1568	0.5923999999999978	control	0.5923999999999978	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.165	1.3120999999999867	emotion	1.3120999999999867	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1732	1.1266999999999996	emotion	1.1266999999999996	left	correct	n/a	male	black	black	black	anger
110.1815	1.0763000000000034	emotion	1.0763000000000034	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1897	1.0688999999999993	emotion	1.0688999999999993	right	correct	n/a	male	black	black	black	fear
120.1979	1.0506000000000029	emotion	1.0506000000000029	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2061	1.7761999999999887	emotion	1.7761999999999887	left	correct	n/a	female	asian	black	asian	anger
130.2143	0.7798999999999978	control	0.7798999999999978	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.2226	0.6955000000000098	control	0.6955000000000098	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
140.2308	0.6931000000000154	control	0.6931000000000154	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.239	0.5717999999999961	control	0.5717999999999961	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2472	0.4344000000000108	control	0.4344000000000108	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.2554	0.7479999999999905	control	0.7479999999999905	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
160.2637	1.6025999999999954	emotion	1.6025999999999954	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2719	1.7153000000000134	emotion	1.7153000000000134	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2801	1.6598999999999933	emotion	1.6598999999999933	right	correct	n/a	male	black	black	black	anger
175.2883	1.8185000000000002	emotion	1.8185000000000002	left	correct	n/a	female	black	asian	asian	anger
180.2965	0.9311999999999898	emotion	0.9311999999999898	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3048	0.8837000000000046	emotion	0.8837000000000046	right	correct	n/a	female	asian	asian	black	fear
190.313	0.6634999999999991	control	0.6634999999999991	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3212	0.6350999999999942	control	0.6350999999999942	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
200.3294	0.683700000000016	control	0.683700000000016	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3376	0.6073999999999842	control	0.6073999999999842	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3459	0.7778999999999883	control	0.7778999999999883	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3541	0.7016000000000133	control	0.7016000000000133	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
220.3623	1.4361999999999853	emotion	1.4361999999999853	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3705	1.97890000000001	emotion	1.97890000000001	left	correct	n/a	female	black	asian	asian	fear
230.3787	1.2425999999999817	emotion	1.2425999999999817	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.387	1.1700999999999908	emotion	1.1700999999999908	left	correct	n/a	male	black	black	black	fear
240.3952	1.7927000000000248	emotion	1.7927000000000248	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.4034	2.107399999999984	emotion	2.107399999999984	right	correct	n/a	female	asian	asian	black	anger
