,0
0,-0.07726599926845013
1,-0.07726599926845013
2,-0.07726599926845013
3,-0.07726599926845013
4,-0.07726599926845013
5,-0.07726599926845013
6,-0.07726599926845013
7,-0.07726599926845013
8,-0.07519355666980021
9,-0.044463751274141705
10,0.06366555057437667
11,0.27272990395170355
12,0.5405638736628574
13,0.7766626054346196
14,0.9101934553356219
15,0.9227340007315499
16,0.8375838768890472
17,0.6947451152674798
18,0.5336372765490085
19,0.4068397453369751
20,0.37492929550548154
21,0.44177659073500025
22,0.5425873692959367
23,0.6071604776077131
24,0.6024642576583847
25,0.5331436118906888
26,0.4233358533474889
27,0.30169185341282945
28,0.21468548937169774
29,0.22207520608192555
30,0.3511409254589479
31,0.5589350358993637
32,0.7520733665480515
33,0.8563518809764531
34,0.8502964916447886
35,0.7547344307125099
36,0.6098120538189711
37,0.4779391444994498
38,0.4326024223652326
39,0.5101805078837792
40,0.6724392338301697
41,0.827627178287969
42,0.9014539462921203
43,0.8716345358356642
44,0.7580266517775145
45,0.5978146025371663
46,0.42813396591306796
47,0.2998800550048421
48,0.27164742120453245
49,0.34583311071048
50,0.45610115743024626
51,0.5314321479864154
52,0.537855724836301
53,0.4793081406555082
54,0.3794397620391795
55,0.2666116220164896
56,0.1871694896867343
57,0.20109669983761919
58,0.3354435455387693
59,0.5471826777025529
60,0.7434040480367242
61,0.8500452418186069
62,0.8457683650352165
63,0.7515232137879706
64,0.6075612032289779
65,0.47637879875360434
66,0.43176303035235397
67,0.5098395202670191
68,0.6724392338301697
69,0.827627178287969
70,0.9014539462921203
71,0.8716345358356642
72,0.7580266517775145
73,0.5978146025371663
74,0.42813396591306796
75,0.2998800550048421
76,0.27164742120453245
77,0.34583311071048
78,0.45610115743024626
79,0.5314321479864154
80,0.537855724836301
81,0.4793081406555082
82,0.3794397620391795
83,0.2666116220164896
84,0.1871694896867343
85,0.20109669983761919
86,0.3354435455387693
87,0.5471826777025529
88,0.7434040480367242
89,0.8500452418186069
90,0.8457683650352165
91,0.7515232137879706
92,0.6075612032289779
93,0.47637879875360434
94,0.43176303035235397
95,0.5098395202670191
96,0.6724392338301697
97,0.827627178287969
98,0.9014539462921203
99,0.8716345358356642
100,0.7580266517775145
101,0.5978146025371663
102,0.42813396591306796
103,0.2998800550048421
104,0.27164742120453245
105,0.34583311071048
106,0.45610115743024626
107,0.5314321479864154
108,0.537855724836301
109,0.4793081406555082
110,0.3794397620391795
111,0.2666116220164896
112,0.1871694896867343
113,0.20109669983761919
114,0.3354435455387693
115,0.5471826777025529
116,0.7434040480367242
117,0.8500452418186069
118,0.8457683650352165
119,0.7515232137879706
120,0.6075612032289779
121,0.47637879875360434
122,0.43176303035235397
123,0.5098395202670191
124,0.6724392338301697
125,0.827627178287969
126,0.9014539462921203
127,0.8716345358356642
128,0.7580266517775145
129,0.5978146025371663
130,0.42813396591306796
131,0.2998800550048421
132,0.27164742120453245
133,0.34583311071048
134,0.45610115743024626
135,0.5314321479864154
136,0.537855724836301
137,0.4793081406555082
138,0.3794397620391795
139,0.2666116220164896
140,0.1871694896867343
141,0.20109669983761919
142,0.3354435455387693
143,0.5471826777025529
144,0.7434040480367242
145,0.8500452418186069
146,0.8457683650352165
147,0.7515232137879706
148,0.6075612032289779
149,0.47637879875360434
150,0.43176303035235397
151,0.5098395202670191
152,0.6724392338301697
153,0.827627178287969
154,0.9014539462921203
155,0.8716345358356642
156,0.7580266517775145
157,0.5978146025371663
158,0.42813396591306796
159,0.2998800550048421
160,0.27164742120453245
161,0.34583311071048
162,0.45610115743024626
163,0.5314321479864154
164,0.537855724836301
165,0.4793081406555082
166,0.3794397620391795
167,0.2666116220164896
168,0.1871694896867343
169,0.20109669983761919
170,0.3354435455387693
171,0.5471826777025529
172,0.7434040480367242
173,0.8500452418186069
174,0.8457683650352165
175,0.7515232137879706
176,0.6075612032289779
177,0.47637879875360434
178,0.43176303035235397
179,0.5098395202670191
180,0.6724392338301697
181,0.827627178287969
182,0.9014539462921203
183,0.8716345358356642
184,0.7580266517775145
185,0.5978146025371663
186,0.42813396591306796
187,0.2998800550048421
188,0.27164742120453245
189,0.34583311071048
190,0.45610115743024626
191,0.5314321479864154
192,0.537855724836301
193,0.4793081406555082
194,0.3794397620391795
195,0.2666116220164896
196,0.1871694896867343
197,0.20109669983761919
198,0.3354435455387693
199,0.5471826777025529
200,0.7434040480367242
201,0.8500452418186069
202,0.8457683650352165
203,0.7515232137879706
204,0.6075612032289779
205,0.47637879875360434
206,0.43176303035235397
207,0.5098395202670191
208,0.6724392338301697
209,0.827627178287969
210,0.9014539462921203
211,0.8716345358356642
212,0.7580266517775145
213,0.5978146025371663
214,0.42813396591306796
215,0.2998800550048421
216,0.27164742120453245
217,0.34583311071048
218,0.45610115743024626
219,0.5314321479864154
220,0.537855724836301
221,0.4793081406555082
222,0.3794397620391795
223,0.2666116220164896
224,0.1871694896867343
225,0.20109669983761919
226,0.3354435455387693
227,0.5471826777025529
228,0.7434040480367242
229,0.8500452418186069
230,0.8457683650352165
231,0.7515232137879706
232,0.6075612032289779
233,0.47637879875360434
234,0.43176303035235397
235,0.5098395202670191
236,0.6724392338301697
237,0.827627178287969
238,0.9014539462921203
239,0.8716345358356642
240,0.7580266517775145
241,0.5978146025371663
242,0.42813396591306796
243,0.2998800550048421
244,0.27164742120453245
245,0.34583311071048
