onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0138	1.6058000000000003	control	1.6058000000000003	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0221	1.0253999999999994	control	1.0253999999999994	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.0303	2.697099999999999	control	2.697099999999999	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0386	1.3337000000000003	control	1.3337000000000003	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
30.0468	1.5433999999999983	control	1.5433999999999983	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
35.0551	1.1768999999999963	control	1.1768999999999963	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.0633	2.496600000000001	emotion	2.496600000000001	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0716	2.266200000000005	emotion	2.266200000000005	right	correct	n/a	male	black	black	black	anger
50.0798	3.242899999999999	emotion	3.242899999999999	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0881	2.715500000000006	emotion	2.715500000000006	left	correct	n/a	male	black	black	black	fear
60.0963	2.4660999999999973	emotion	2.4660999999999973	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1046	1.8456999999999937	emotion	1.8456999999999937	right	correct	n/a	female	asian	black	asian	fear
70.1128	1.3035000000000139	control	1.3035000000000139	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1211	0.7310999999999979	control	0.7310999999999979	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1293	1.060699999999997	control	1.060699999999997	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1376	0.9112999999999971	control	0.9112999999999971	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1458	0.9909999999999997	control	0.9909999999999997	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.1541	4.740499999999997	control	4.740499999999997	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.1623	2.883200000000002	emotion	2.883200000000002	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1706	1.8118000000000052	emotion	1.8118000000000052	left	correct	n/a	male	black	black	black	anger
110.1788	2.8445000000000107	emotion	2.8445000000000107	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1871	2.6601	emotion	2.6601	right	correct	n/a	male	black	black	black	fear
120.1953	1.700800000000001	emotion	1.700800000000001	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2036	1.3903999999999996	emotion	1.3903999999999996	left	correct	n/a	female	asian	black	asian	anger
130.2118	2.1870999999999867	control	2.1870999999999867	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.2201	1.2286000000000001	control	1.2286000000000001	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2283	1.540300000000002	control	1.540300000000002	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2366	1.3699000000000012	control	1.3699000000000012	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2448	0.7985999999999933	control	0.7985999999999933	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
155.2531	0.6492000000000075	control	0.6492000000000075	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
160.2613	2.487799999999993	emotion	2.487799999999993	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2696	4.2564000000000135	emotion	4.2564000000000135	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2778	2.3520999999999788	emotion	2.3520999999999788	right	correct	n/a	male	black	black	black	anger
175.2861	4.9	emotion	n/a	n/a	miss	n/a	female	black	asian	asian	anger
180.2943	2.1584000000000003	emotion	2.1584000000000003	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3026	1.7779999999999916	emotion	1.7779999999999916	right	correct	n/a	female	asian	asian	black	fear
190.3108	1.0327000000000055	control	1.0327000000000055	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3191	0.722200000000015	control	0.722200000000015	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3273	0.667900000000003	control	0.667900000000003	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3356	0.7164999999999964	control	0.7164999999999964	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3438	2.1532000000000266	control	2.1532000000000266	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
215.3521	0.7377999999999929	control	0.7377999999999929	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.3603	2.0604000000000156	emotion	2.0604000000000156	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3686	1.207000000000022	emotion	1.207000000000022	left	correct	n/a	female	black	asian	asian	fear
230.3768	1.2637	emotion	1.2637	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3851	0.8613	emotion	0.8613	left	correct	n/a	male	black	black	black	fear
240.3933	1.7479999999999905	emotion	1.7479999999999905	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.4016	2.869499999999988	emotion	2.869499999999988	right	correct	n/a	female	asian	asian	black	anger
