onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0096	3.9448999999999987	control	3.9448999999999987	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0178	1.8905000000000012	control	1.8905000000000012	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.026	1.1202000000000005	control	1.1202000000000005	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0342	3.8957000000000015	control	3.8957000000000015	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0424	1.8594000000000008	control	1.8594000000000008	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0506	1.4460999999999942	control	1.4460999999999942	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.0588	2.7045999999999992	emotion	2.7045999999999992	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.067	1.6113	emotion	1.6113	right	correct	n/a	male	black	black	black	anger
50.0752	1.5818999999999974	emotion	1.5818999999999974	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0833	1.8046999999999969	emotion	1.8046999999999969	left	correct	n/a	male	black	black	black	fear
60.0915	2.1531999999999982	emotion	2.1531999999999982	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.0997	2.0049000000000063	emotion	2.0049000000000063	right	correct	n/a	female	asian	black	asian	fear
70.1079	0.9865999999999957	control	0.9865999999999957	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1161	0.5822000000000003	control	0.5822000000000003	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1243	0.7537999999999982	control	0.7537999999999982	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
85.1325	0.8244000000000113	control	0.8244000000000113	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1407	0.5820000000000078	control	0.5820000000000078	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.1489	0.9446000000000083	control	0.9446000000000083	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
100.1571	1.3962999999999965	emotion	1.3962999999999965	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1653	1.3778999999999968	emotion	1.3778999999999968	left	correct	n/a	male	black	black	black	anger
110.1734	2.168599999999998	emotion	2.168599999999998	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1816	1.3973000000000013	emotion	1.3973000000000013	left	incorrect	n/a	male	black	black	black	fear
120.1898	2.764799999999994	emotion	2.764799999999994	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.198	2.3445000000000107	emotion	2.3445000000000107	left	correct	n/a	female	asian	black	asian	anger
130.2062	0.8491999999999962	control	0.8491999999999962	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
135.2144	1.1666999999999916	control	1.1666999999999916	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2226	0.9864000000000033	control	0.9864000000000033	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2308	0.6830000000000211	control	0.6830000000000211	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.239	0.7965999999999838	control	0.7965999999999838	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
155.2472	1.0852000000000146	control	1.0852000000000146	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2553	1.960899999999981	emotion	1.960899999999981	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2635	1.965599999999995	emotion	1.965599999999995	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2717	1.6981999999999857	emotion	1.6981999999999857	right	correct	n/a	male	black	black	black	anger
175.2799	2.0527999999999906	emotion	2.0527999999999906	left	correct	n/a	female	black	asian	asian	anger
180.2881	1.758400000000023	emotion	1.758400000000023	right	correct	n/a	male	caucasian	caucasian	white	fear
185.2963	1.3341000000000065	emotion	1.3341000000000065	right	correct	n/a	female	asian	asian	black	fear
190.3045	1.0057000000000187	control	1.0057000000000187	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.3127	0.8863000000000056	control	0.8863000000000056	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3209	0.8220000000000027	control	0.8220000000000027	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3291	0.6145999999999958	control	0.6145999999999958	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
210.3373	0.5932999999999993	control	0.5932999999999993	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
215.3454	0.6449999999999818	control	0.6449999999999818	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
220.3536	2.147500000000008	emotion	2.147500000000008	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3618	2.0212000000000216	emotion	2.0212000000000216	left	correct	n/a	female	black	asian	asian	fear
230.37	1.8497999999999877	emotion	1.8497999999999877	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3782	1.825400000000002	emotion	1.825400000000002	left	correct	n/a	male	black	black	black	fear
240.3864	2.1769999999999925	emotion	2.1769999999999925	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3946	1.8537000000000035	emotion	1.8537000000000035	right	correct	n/a	female	asian	asian	black	anger
