onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0143	4.129299999999999	control	4.129299999999999	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0225	1.8679999999999986	control	1.8679999999999986	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.0308	1.2726000000000006	control	1.2726000000000006	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.039	0.7322999999999986	control	0.7322999999999986	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0472	0.8708999999999989	control	0.8708999999999989	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0554	0.6096000000000004	control	0.6096000000000004	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.0636	1.5991999999999962	emotion	1.5991999999999962	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0719	1.1266999999999996	emotion	1.1266999999999996	right	correct	n/a	male	black	black	black	anger
50.0801	1.0643999999999991	emotion	1.0643999999999991	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0883	1.7630000000000052	emotion	1.7630000000000052	left	correct	n/a	male	black	black	black	fear
60.0965	2.4566000000000017	emotion	2.4566000000000017	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1047	0.9802999999999997	emotion	0.9802999999999997	right	correct	n/a	female	asian	black	asian	fear
70.1129	0.8770000000000095	control	0.8770000000000095	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1212	0.7206000000000046	control	0.7206000000000046	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
80.1294	0.6781999999999897	control	0.6781999999999897	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1376	2.5437999999999903	control	2.5437999999999903	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1458	0.7974999999999994	control	0.7974999999999994	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.154	0.7202000000000055	control	0.7202000000000055	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
100.1623	2.2896999999999963	emotion	2.2896999999999963	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1705	0.9513999999999925	emotion	0.9513999999999925	left	correct	n/a	male	black	black	black	anger
110.1787	1.5309999999999917	emotion	1.5309999999999917	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1869	1.7077000000000027	emotion	1.7077000000000027	right	correct	n/a	male	black	black	black	fear
120.1951	1.5512999999999977	emotion	1.5512999999999977	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2034	2.234899999999996	emotion	2.234899999999996	right	incorrect	n/a	female	asian	black	asian	anger
130.2116	0.9105999999999881	control	0.9105999999999881	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.2198	1.630200000000002	control	1.630200000000002	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
140.228	1.2768999999999835	control	1.2768999999999835	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2362	4.095400000000012	control	4.095400000000012	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2444	0.7351999999999919	control	0.7351999999999919	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.2527	0.7616999999999905	control	0.7616999999999905	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
160.2609	3.0823000000000036	emotion	3.0823000000000036	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
165.2691	1.36099999999999	emotion	1.36099999999999	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2773	1.7376000000000147	emotion	1.7376000000000147	right	correct	n/a	male	black	black	black	anger
175.2855	2.83329999999998	emotion	2.83329999999998	right	incorrect	n/a	female	black	asian	asian	anger
180.2938	1.932799999999986	emotion	1.932799999999986	right	correct	n/a	male	caucasian	caucasian	white	fear
185.302	1.8985000000000127	emotion	1.8985000000000127	right	correct	n/a	female	asian	asian	black	fear
190.3102	1.3701999999999828	control	1.3701999999999828	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3184	1.8027999999999906	control	1.8027999999999906	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
200.3266	0.8094999999999857	control	0.8094999999999857	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3348	0.9070999999999856	control	0.9070999999999856	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
210.3431	1.5126999999999953	control	1.5126999999999953	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
215.3513	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
220.3595	3.6418999999999926	emotion	3.6418999999999926	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3677	1.9015999999999735	emotion	1.9015999999999735	left	correct	n/a	female	black	asian	asian	fear
230.3759	1.8743000000000052	emotion	1.8743000000000052	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3842	1.8348000000000013	emotion	1.8348000000000013	left	correct	n/a	male	black	black	black	fear
240.3924	2.420500000000004	emotion	2.420500000000004	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.4006	1.5942000000000007	emotion	1.5942000000000007	left	incorrect	n/a	female	asian	asian	black	anger
