onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0125	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
15.0206	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
20.0288	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
25.037	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
30.0452	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
35.0533	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
40.0615	1.5678999999999945	emotion	1.5678999999999945	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0697	3.1994000000000042	emotion	3.1994000000000042	left	incorrect	n/a	male	black	black	black	anger
50.0779	2.055100000000003	emotion	2.055100000000003	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.086	2.341799999999999	emotion	2.341799999999999	left	correct	n/a	male	black	black	black	fear
60.0942	2.0503999999999962	emotion	2.0503999999999962	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1024	2.176000000000002	emotion	2.176000000000002	right	correct	n/a	female	asian	black	asian	fear
70.1106	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
75.1187	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
80.1269	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
85.1351	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
90.1433	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
95.1514	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
100.1596	2.048500000000004	emotion	2.048500000000004	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1678	2.9791000000000025	emotion	2.9791000000000025	left	correct	n/a	male	black	black	black	anger
110.176	1.9787000000000035	emotion	1.9787000000000035	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1841	1.6525000000000034	emotion	1.6525000000000034	left	incorrect	n/a	male	black	black	black	fear
120.1923	1.9099999999999966	emotion	1.9099999999999966	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2005	2.762599999999992	emotion	2.762599999999992	left	correct	n/a	female	asian	black	asian	anger
130.2087	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
135.2168	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
140.225	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
145.2332	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
150.2414	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
155.2495	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
160.2577	2.93010000000001	emotion	2.93010000000001	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2659	1.4928000000000168	emotion	1.4928000000000168	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2741	2.3083000000000027	emotion	2.3083000000000027	left	incorrect	n/a	male	black	black	black	anger
175.2822	2.1831000000000245	emotion	2.1831000000000245	left	correct	n/a	female	black	asian	asian	anger
180.2904	1.9005999999999972	emotion	1.9005999999999972	right	correct	n/a	male	caucasian	caucasian	white	fear
185.2986	1.9063000000000159	emotion	1.9063000000000159	right	correct	n/a	female	asian	asian	black	fear
190.3068	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
195.3149	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
200.3231	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
205.3313	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
210.3395	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
215.3476	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
220.3558	1.7997000000000014	emotion	1.7997000000000014	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.364	3.512299999999982	emotion	3.512299999999982	left	correct	n/a	female	black	asian	asian	fear
230.3722	1.9899000000000058	emotion	1.9899000000000058	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3803	2.4806999999999846	emotion	2.4806999999999846	left	correct	n/a	male	black	black	black	fear
240.3885	1.9162000000000035	emotion	1.9162000000000035	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3967	1.5888999999999953	emotion	1.5888999999999953	right	correct	n/a	female	asian	asian	black	anger
