onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0126	1.786999999999999	control	1.786999999999999	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0208	1.1816000000000013	control	1.1816000000000013	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.0289	0.8063000000000002	control	0.8063000000000002	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0371	1.297900000000002	control	1.297900000000002	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
30.0453	1.0314999999999976	control	1.0314999999999976	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0535	0.8620999999999981	control	0.8620999999999981	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
40.0616	2.562800000000003	emotion	2.562800000000003	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0698	1.9294000000000011	emotion	1.9294000000000011	right	correct	n/a	male	black	black	black	anger
50.078	1.6269999999999953	emotion	1.6269999999999953	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0862	1.9816000000000003	emotion	1.9816000000000003	left	correct	n/a	male	black	black	black	fear
60.0943	1.9823000000000022	emotion	1.9823000000000022	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1025	1.7299000000000007	emotion	1.7299000000000007	right	correct	n/a	female	asian	black	asian	fear
70.1107	1.411600000000007	control	1.411600000000007	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1189	0.6822000000000088	control	0.6822000000000088	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.127	0.7689000000000021	control	0.7689000000000021	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1352	1.218500000000006	control	1.218500000000006	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1434	0.6891999999999996	control	0.6891999999999996	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.1516	1.0947000000000031	control	1.0947000000000031	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.1597	2.0874000000000024	emotion	2.0874000000000024	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1679	1.3789999999999907	emotion	1.3789999999999907	left	correct	n/a	male	black	black	black	anger
110.1761	2.681599999999989	emotion	2.681599999999989	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1843	1.6962000000000046	emotion	1.6962000000000046	right	correct	n/a	male	black	black	black	fear
120.1925	1.164900000000003	emotion	1.164900000000003	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2006	1.9616000000000042	emotion	1.9616000000000042	left	correct	n/a	female	asian	black	asian	anger
130.2088	0.9952000000000112	control	0.9952000000000112	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
135.217	1.267799999999994	control	1.267799999999994	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2252	0.6933999999999969	control	0.6933999999999969	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
145.2333	0.8500999999999976	control	0.8500999999999976	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2415	0.5788000000000011	control	0.5788000000000011	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.2497	1.5032999999999959	control	1.5032999999999959	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2579	1.971900000000005	emotion	1.971900000000005	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.266	1.534700000000015	emotion	1.534700000000015	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2742	1.4962999999999909	emotion	1.4962999999999909	right	correct	n/a	male	black	black	black	anger
175.2824	2.130899999999997	emotion	2.130899999999997	left	correct	n/a	female	black	asian	asian	anger
180.2906	1.1544999999999845	emotion	1.1544999999999845	right	correct	n/a	male	caucasian	caucasian	white	fear
185.2987	1.810200000000009	emotion	1.810200000000009	right	correct	n/a	female	asian	asian	black	fear
190.3069	1.098799999999983	control	1.098799999999983	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.3151	0.7413999999999987	control	0.7413999999999987	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3233	0.6810000000000116	control	0.6810000000000116	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3315	0.863599999999991	control	0.863599999999991	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3396	1.1514000000000237	control	1.1514000000000237	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3478	1.116899999999987	control	1.116899999999987	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.356	1.8485000000000014	emotion	1.8485000000000014	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3642	1.223099999999988	emotion	1.223099999999988	left	correct	n/a	female	black	asian	asian	fear
230.3723	1.4439000000000135	emotion	1.4439000000000135	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3805	1.3194999999999766	emotion	1.3194999999999766	left	correct	n/a	male	black	black	black	fear
240.3887	1.4980999999999938	emotion	1.4980999999999938	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3969	2.355700000000013	emotion	2.355700000000013	right	correct	n/a	female	asian	asian	black	anger
