onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0121	2.0884	control	2.0884	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
15.0203	2.0779999999999976	control	2.0779999999999976	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.0285	0.9666999999999994	control	0.9666999999999994	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
25.0366	2.0284000000000013	control	2.0284000000000013	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
30.0448	1.3320000000000007	control	1.3320000000000007	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.053	0.9146000000000001	control	0.9146000000000001	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
40.0612	3.3201000000000036	emotion	3.3201000000000036	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0693	2.5048999999999992	emotion	2.5048999999999992	right	correct	n/a	male	black	black	black	anger
50.0775	1.886499999999998	emotion	1.886499999999998	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0857	2.1950999999999965	emotion	2.1950999999999965	left	correct	n/a	male	black	black	black	fear
60.0939	1.9917000000000016	emotion	1.9917000000000016	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.102	2.00739999999999	emotion	2.00739999999999	right	correct	n/a	female	asian	black	asian	fear
70.1102	1.825099999999992	control	1.825099999999992	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1184	0.9257000000000062	control	0.9257000000000062	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
80.1266	0.9063000000000017	control	0.9063000000000017	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
85.1347	0.6690000000000111	control	0.6690000000000111	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1429	0.7946000000000026	control	0.7946000000000026	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.1511	1.4801999999999964	control	1.4801999999999964	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
100.1593	2.3337999999999965	emotion	2.3337999999999965	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1674	1.6375000000000028	emotion	1.6375000000000028	left	correct	n/a	male	black	black	black	anger
110.1756	1.9360999999999962	emotion	1.9360999999999962	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1838	2.469699999999989	emotion	2.469699999999989	right	correct	n/a	male	black	black	black	fear
120.192	2.287300000000002	emotion	2.287300000000002	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2001	2.728999999999999	emotion	2.728999999999999	left	correct	n/a	female	asian	black	asian	anger
130.2083	2.9395999999999844	control	2.9395999999999844	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
135.2165	1.6683000000000163	control	1.6683000000000163	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2247	0.8368999999999858	control	0.8368999999999858	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
145.2328	1.033600000000007	control	1.033600000000007	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
150.241	3.355099999999993	control	3.355099999999993	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
155.2492	0.8108000000000004	control	0.8108000000000004	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
160.2574	3.126400000000018	emotion	3.126400000000018	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2655	2.2741000000000042	emotion	2.2741000000000042	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2737	2.9416999999999973	emotion	2.9416999999999973	left	incorrect	n/a	male	black	black	black	anger
175.2819	3.1702999999999975	emotion	3.1702999999999975	left	correct	n/a	female	black	asian	asian	anger
180.2901	2.229900000000015	emotion	2.229900000000015	right	correct	n/a	male	caucasian	caucasian	white	fear
185.2982	1.7136999999999887	emotion	1.7136999999999887	right	correct	n/a	female	asian	asian	black	fear
190.3064	1.7102999999999895	control	1.7102999999999895	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3146	1.0628999999999849	control	1.0628999999999849	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3228	0.8615000000000066	control	0.8615000000000066	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3309	0.6032999999999902	control	0.6032999999999902	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3391	1.210800000000006	control	1.210800000000006	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3473	2.922300000000007	control	2.922300000000007	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.3555	2.219999999999999	emotion	2.219999999999999	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3636	3.7737000000000194	emotion	3.7737000000000194	left	correct	n/a	female	black	asian	asian	fear
230.3718	3.4742999999999995	emotion	3.4742999999999995	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.38	2.5878999999999905	emotion	2.5878999999999905	left	correct	n/a	male	black	black	black	fear
240.3882	1.4525999999999897	emotion	1.4525999999999897	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3963	2.1063000000000045	emotion	2.1063000000000045	right	correct	n/a	female	asian	asian	black	anger
