onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0151	2.4482999999999997	control	2.4482999999999997	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0233	1.2179999999999982	control	1.2179999999999982	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.0314	0.7486999999999995	control	0.7486999999999995	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0396	1.1443000000000012	control	1.1443000000000012	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
30.0478	0.8429000000000002	control	0.8429000000000002	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0559	0.7835999999999999	control	0.7835999999999999	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
40.0641	2.0660999999999987	emotion	2.0660999999999987	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0722	3.152799999999999	emotion	3.152799999999999	right	correct	n/a	male	black	black	black	anger
50.0804	1.8245000000000005	emotion	1.8245000000000005	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0886	1.4241000000000028	emotion	1.4241000000000028	left	correct	n/a	male	black	black	black	fear
60.0967	3.665700000000001	emotion	3.665700000000001	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1049	4.366200000000006	emotion	4.366200000000006	right	correct	n/a	female	asian	black	asian	fear
70.113	1.4651000000000067	control	1.4651000000000067	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1212	0.9856000000000051	control	0.9856000000000051	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1294	1.4812000000000012	control	1.4812000000000012	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1375	3.41579999999999	control	3.41579999999999	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1457	0.7945999999999884	control	0.7945999999999884	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1538	1.2061999999999955	control	1.2061999999999955	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
100.162	1.7707999999999942	emotion	1.7707999999999942	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1702	1.1744000000000057	emotion	1.1744000000000057	left	correct	n/a	male	black	black	black	anger
110.1783	1.8771000000000129	emotion	1.8771000000000129	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1865	2.3197000000000116	emotion	2.3197000000000116	right	correct	n/a	male	black	black	black	fear
120.1946	2.192300000000003	emotion	2.192300000000003	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2028	3.849899999999991	emotion	3.849899999999991	left	correct	n/a	female	asian	black	asian	anger
130.2109	0.6916999999999973	control	0.6916999999999973	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.2191	0.632300000000015	control	0.632300000000015	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
140.2273	0.7658999999999878	control	0.7658999999999878	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2354	0.6505999999999972	control	0.6505999999999972	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2436	0.7762000000000171	control	0.7762000000000171	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
155.2517	3.781800000000004	control	3.781800000000004	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2599	3.392400000000009	emotion	3.392400000000009	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2681	1.3479999999999848	emotion	1.3479999999999848	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2762	1.584699999999998	emotion	1.584699999999998	right	correct	n/a	male	black	black	black	anger
175.2844	1.6003000000000043	emotion	1.6003000000000043	left	correct	n/a	female	black	asian	asian	anger
180.2925	1.0870000000000175	emotion	1.0870000000000175	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3007	1.7755999999999972	emotion	1.7755999999999972	right	correct	n/a	female	asian	asian	black	fear
190.3089	0.7452000000000112	control	0.7452000000000112	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.317	0.913899999999984	control	0.913899999999984	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3252	0.6634999999999991	control	0.6634999999999991	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3333	0.6511999999999887	control	0.6511999999999887	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3415	1.0678000000000054	control	1.0678000000000054	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3497	0.7313999999999794	control	0.7313999999999794	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
220.3578	2.3870000000000005	emotion	2.3870000000000005	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.366	2.6485999999999876	emotion	2.6485999999999876	left	correct	n/a	female	black	asian	asian	fear
230.3741	2.6003000000000043	emotion	2.6003000000000043	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3823	1.0760000000000218	emotion	1.0760000000000218	left	correct	n/a	male	black	black	black	fear
240.3905	1.6995000000000005	emotion	1.6995000000000005	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3986	1.3382000000000005	emotion	1.3382000000000005	right	correct	n/a	female	asian	asian	black	anger
