onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0158	3.0617	control	3.0617	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
15.024	1.7783999999999995	control	1.7783999999999995	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.0322	1.2620000000000005	control	1.2620000000000005	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
25.0404	0.9275999999999982	control	0.9275999999999982	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0486	0.8301999999999978	control	0.8301999999999978	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
35.0567	1.1428999999999974	control	1.1428999999999974	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.0649	2.048499999999997	emotion	2.048499999999997	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0731	2.420100000000005	emotion	2.420100000000005	right	correct	n/a	male	black	black	black	anger
50.0813	1.2856999999999985	emotion	1.2856999999999985	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0894	1.105400000000003	emotion	1.105400000000003	left	correct	n/a	male	black	black	black	fear
60.0976	3.103999999999999	emotion	3.103999999999999	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1058	1.5836000000000041	emotion	1.5836000000000041	right	correct	n/a	female	asian	black	asian	fear
70.114	0.9852999999999952	control	0.9852999999999952	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1221	0.7650000000000006	control	0.7650000000000006	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1303	1.1805999999999983	control	1.1805999999999983	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
85.1385	1.1202000000000112	control	1.1202000000000112	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
90.1467	0.6788000000000096	control	0.6788000000000096	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1548	0.9335000000000093	control	0.9335000000000093	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.163	2.379100000000008	emotion	2.379100000000008	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1712	1.5057000000000045	emotion	1.5057000000000045	left	correct	n/a	male	black	black	black	anger
110.1794	1.5883000000000038	emotion	1.5883000000000038	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1875	1.2600000000000051	emotion	1.2600000000000051	right	correct	n/a	male	black	black	black	fear
120.1957	1.2516999999999996	emotion	1.2516999999999996	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2039	3.2732000000000028	emotion	3.2732000000000028	left	correct	n/a	female	asian	black	asian	anger
130.2121	0.9729000000000099	control	0.9729000000000099	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
135.2202	0.884600000000006	control	0.884600000000006	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
140.2284	0.8752000000000066	control	0.8752000000000066	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2366	1.8687999999999931	control	1.8687999999999931	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2448	1.223399999999998	control	1.223399999999998	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.253	0.77800000000002	control	0.77800000000002	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
160.2611	2.3866999999999905	emotion	2.3866999999999905	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2693	1.9543000000000177	emotion	1.9543000000000177	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2775	2.090900000000005	emotion	2.090900000000005	right	correct	n/a	male	black	black	black	anger
175.2857	1.9244999999999948	emotion	1.9244999999999948	left	correct	n/a	female	black	asian	asian	anger
180.2938	1.4923000000000002	emotion	1.4923000000000002	right	correct	n/a	male	caucasian	caucasian	white	fear
185.302	1.7718000000000131	emotion	1.7718000000000131	right	correct	n/a	female	asian	asian	black	fear
190.3102	1.1384999999999934	control	1.1384999999999934	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.3184	0.8661000000000172	control	0.8661000000000172	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
200.3265	0.8777999999999793	control	0.8777999999999793	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3347	0.7834000000000003	control	0.7834000000000003	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
210.3429	1.6480000000000246	control	1.6480000000000246	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3511	1.2435999999999865	control	1.2435999999999865	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
220.3592	1.516300000000001	emotion	1.516300000000001	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3674	2.8748999999999967	emotion	2.8748999999999967	left	correct	n/a	female	black	asian	asian	fear
230.3756	1.1565999999999974	emotion	1.1565999999999974	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3838	1.3111999999999853	emotion	1.3111999999999853	left	correct	n/a	male	black	black	black	fear
240.3919	2.093800000000016	emotion	2.093800000000016	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.4001	1.2724999999999795	emotion	1.2724999999999795	right	correct	n/a	female	asian	asian	black	anger
