onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0173	4.770299999999999	control	4.770299999999999	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0255	1.0571000000000002	control	1.0571000000000002	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.0337	1.2068000000000012	control	1.2068000000000012	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.042	0.8553999999999995	control	0.8553999999999995	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
30.0502	0.6329999999999991	control	0.6329999999999991	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0584	2.2117000000000004	control	2.2117000000000004	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
40.0667	1.5521999999999991	emotion	1.5521999999999991	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0749	1.6869000000000014	emotion	1.6869000000000014	right	correct	n/a	male	black	black	black	anger
50.0831	1.1995999999999967	emotion	1.1995999999999967	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0914	1.5540999999999983	emotion	1.5540999999999983	left	correct	n/a	male	black	black	black	fear
60.0996	1.3247999999999962	emotion	1.3247999999999962	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1078	1.2284999999999968	emotion	1.2284999999999968	right	correct	n/a	female	asian	black	asian	fear
70.1161	0.7460999999999984	control	0.7460999999999984	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1243	1.1096999999999895	control	1.1096999999999895	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
80.1325	0.9824000000000126	control	0.9824000000000126	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1408	0.8179999999999978	control	0.8179999999999978	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.149	0.5975999999999999	control	0.5975999999999999	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.1572	0.8712999999999909	control	0.8712999999999909	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.1655	1.654900000000012	emotion	1.654900000000012	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1737	1.069500000000005	emotion	1.069500000000005	left	correct	n/a	male	black	black	black	anger
110.1819	1.1872000000000043	emotion	1.1872000000000043	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1902	1.689700000000002	emotion	1.689700000000002	right	correct	n/a	male	black	black	black	fear
120.1984	1.76039999999999	emotion	1.76039999999999	right	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
125.2066	1.3331000000000017	emotion	1.3331000000000017	left	correct	n/a	female	asian	black	asian	anger
130.2149	0.8866999999999905	control	0.8866999999999905	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
135.2231	0.704400000000021	control	0.704400000000021	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
140.2313	0.8689999999999998	control	0.8689999999999998	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2396	0.6906000000000176	control	0.6906000000000176	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2478	1.184299999999979	control	1.184299999999979	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.256	0.5629999999999882	control	0.5629999999999882	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2643	1.2925000000000182	emotion	1.2925000000000182	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2725	1.5620999999999867	emotion	1.5620999999999867	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2807	1.56280000000001	emotion	1.56280000000001	right	correct	n/a	male	black	black	black	anger
175.2889	1.980499999999978	emotion	1.980499999999978	left	correct	n/a	female	black	asian	asian	anger
180.2972	1.2180999999999926	emotion	1.2180999999999926	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3054	1.254700000000014	emotion	1.254700000000014	right	correct	n/a	female	asian	asian	black	fear
190.3136	0.7413999999999987	control	0.7413999999999987	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3219	0.782999999999987	control	0.782999999999987	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3301	0.8747000000000185	control	0.8747000000000185	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3383	0.7182999999999993	control	0.7182999999999993	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3466	0.8479000000000099	control	0.8479000000000099	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
215.3548	0.5206000000000017	control	0.5206000000000017	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.363	1.5792000000000144	emotion	1.5792000000000144	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3713	1.2048000000000059	emotion	1.2048000000000059	left	correct	n/a	female	black	asian	asian	fear
230.3795	1.1924999999999955	emotion	1.1924999999999955	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3877	1.221100000000007	emotion	1.221100000000007	left	correct	n/a	male	black	black	black	fear
240.396	1.4887000000000228	emotion	1.4887000000000228	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.4042	1.0632999999999981	emotion	1.0632999999999981	right	correct	n/a	female	asian	asian	black	anger
