onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0124	4.661200000000001	control	4.661200000000001	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0206	2.4060000000000006	control	2.4060000000000006	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.0289	1.5275999999999996	control	1.5275999999999996	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0371	0.8623000000000012	control	0.8623000000000012	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0454	1.8848999999999982	control	1.8848999999999982	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0536	0.7385999999999981	control	0.7385999999999981	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.0619	1.5351	emotion	1.5351	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0701	2.3958000000000013	emotion	2.3958000000000013	right	correct	n/a	male	black	black	black	anger
50.0784	1.892399999999995	emotion	1.892399999999995	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0866	1.7971000000000004	emotion	1.7971000000000004	left	correct	n/a	male	black	black	black	fear
60.0949	3.5205999999999946	emotion	3.5205999999999946	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1031	1.5323000000000064	emotion	1.5323000000000064	right	correct	n/a	female	asian	black	asian	fear
70.1114	1.0238999999999976	control	1.0238999999999976	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1196	0.9265999999999934	control	0.9265999999999934	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1279	0.7132000000000005	control	0.7132000000000005	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1361	0.5858999999999952	control	0.5858999999999952	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1444	0.8044999999999902	control	0.8044999999999902	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1526	0.5721999999999952	control	0.5721999999999952	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.1609	2.4787000000000035	emotion	2.4787000000000035	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1691	1.6474000000000046	emotion	1.6474000000000046	left	correct	n/a	male	black	black	black	anger
110.1774	2.435999999999993	emotion	2.435999999999993	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1856	1.872700000000009	emotion	1.872700000000009	right	correct	n/a	male	black	black	black	fear
120.1939	1.7532999999999959	emotion	1.7532999999999959	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2021	1.8319999999999936	emotion	1.8319999999999936	left	correct	n/a	female	asian	black	asian	anger
130.2104	0.8534999999999968	control	0.8534999999999968	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.2186	0.9992000000000019	control	0.9992000000000019	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2269	0.7528000000000077	control	0.7528000000000077	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
145.2351	0.6995000000000005	control	0.6995000000000005	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2434	0.9800999999999931	control	0.9800999999999931	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
155.2516	1.1376999999999953	control	1.1376999999999953	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2599	1.7833000000000254	emotion	1.7833000000000254	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2681	1.7009999999999934	emotion	1.7009999999999934	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2764	1.840599999999995	emotion	1.840599999999995	right	correct	n/a	male	black	black	black	anger
175.2846	3.350200000000001	emotion	3.350200000000001	left	correct	n/a	female	black	asian	asian	anger
180.2929	1.814799999999991	emotion	1.814799999999991	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3011	1.2265000000000157	emotion	1.2265000000000157	right	correct	n/a	female	asian	asian	black	fear
190.3094	0.9200999999999908	control	0.9200999999999908	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.3176	0.8238000000000056	control	0.8238000000000056	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3259	0.947400000000016	control	0.947400000000016	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3341	0.7510999999999797	control	0.7510999999999797	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3424	0.9046999999999912	control	0.9046999999999912	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3506	0.6893000000000029	control	0.6893000000000029	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.3589	1.4769000000000005	emotion	1.4769000000000005	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3671	1.2246000000000095	emotion	1.2246000000000095	left	correct	n/a	female	black	asian	asian	fear
230.3754	1.8141999999999996	emotion	1.8141999999999996	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3836	1.637900000000002	emotion	1.637900000000002	left	correct	n/a	male	black	black	black	fear
240.3919	2.0075000000000216	emotion	2.0075000000000216	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.4001	2.0611999999999853	emotion	2.0611999999999853	right	correct	n/a	female	asian	asian	black	anger
