onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0162	1.1484000000000005	control	1.1484000000000005	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0244	0.5731000000000002	control	0.5731000000000002	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.0327	0.5167000000000002	control	0.5167000000000002	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
25.0409	0.47639999999999816	control	0.47639999999999816	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
30.0491	0.527000000000001	control	0.527000000000001	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
35.0574	0.5236000000000018	control	0.5236000000000018	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
40.0656	0.3662999999999954	emotion	0.3662999999999954	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0738	0.5549999999999997	emotion	0.5549999999999997	left	incorrect	n/a	male	black	black	black	anger
50.0821	0.6645000000000039	emotion	0.6645000000000039	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
55.0903	0.600200000000001	emotion	0.600200000000001	left	correct	n/a	male	black	black	black	fear
60.0985	0.5869	emotion	0.5869	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1068	0.5033999999999992	emotion	0.5033999999999992	left	incorrect	n/a	female	asian	black	asian	fear
70.115	0.6131000000000029	control	0.6131000000000029	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1232	0.4458000000000055	control	0.4458000000000055	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
80.1315	0.442300000000003	control	0.442300000000003	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1397	0.44199999999999307	control	0.44199999999999307	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
90.1479	0.7256999999999891	control	0.7256999999999891	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1562	0.41920000000000357	control	0.41920000000000357	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
100.1644	0.5198999999999927	emotion	0.5198999999999927	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
105.1726	0.5455999999999932	emotion	0.5455999999999932	left	correct	n/a	male	black	black	black	anger
110.1809	0.5131000000000085	emotion	0.5131000000000085	left	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
115.1891	0.8388000000000062	emotion	0.8388000000000062	left	incorrect	n/a	male	black	black	black	fear
120.1973	0.8864999999999981	emotion	0.8864999999999981	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2056	0.570999999999998	emotion	0.570999999999998	left	correct	n/a	female	asian	black	asian	anger
130.2138	0.6256999999999948	control	0.6256999999999948	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
135.222	0.6453999999999951	control	0.6453999999999951	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2303	0.4170000000000016	control	0.4170000000000016	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
145.2385	0.455600000000004	control	0.455600000000004	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
150.2467	4.586099999999988	control	4.586099999999988	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.255	1.9598000000000013	control	1.9598000000000013	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2632	0.4784999999999968	emotion	0.4784999999999968	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2715	0.46709999999998786	emotion	0.46709999999998786	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2797	0.5097000000000094	emotion	0.5097000000000094	left	incorrect	n/a	male	black	black	black	anger
175.2879	0.4573999999999785	emotion	0.4573999999999785	left	correct	n/a	female	black	asian	asian	anger
180.2962	0.45699999999999363	emotion	0.45699999999999363	left	incorrect	n/a	male	caucasian	caucasian	white	fear
185.3044	0.37770000000000437	emotion	0.37770000000000437	left	incorrect	n/a	female	asian	asian	black	fear
190.3126	0.5703000000000031	control	0.5703000000000031	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3209	0.45189999999999486	control	0.45189999999999486	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
200.3291	0.40749999999999886	control	0.40749999999999886	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
205.3373	0.47520000000000095	control	0.47520000000000095	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
210.3456	0.36580000000000723	control	0.36580000000000723	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
215.3538	0.5224999999999795	control	0.5224999999999795	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.362	0.4380999999999915	emotion	0.4380999999999915	left	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
225.3703	1.6456000000000017	emotion	1.6456000000000017	left	correct	n/a	female	black	asian	asian	fear
230.3785	0.5203999999999951	emotion	0.5203999999999951	left	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
235.3867	0.36410000000000764	emotion	0.36410000000000764	left	correct	n/a	male	black	black	black	fear
240.395	0.505599999999987	emotion	0.505599999999987	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.4032	0.42429999999998813	emotion	0.42429999999998813	left	incorrect	n/a	female	asian	asian	black	anger
