onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0106	1.857099999999999	control	1.857099999999999	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
15.0188	0.9458000000000002	control	0.9458000000000002	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.0271	1.4463000000000008	control	1.4463000000000008	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
25.0353	1.5060000000000002	control	1.5060000000000002	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0436	1.455599999999997	control	1.455599999999997	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0518	1.414200000000001	control	1.414200000000001	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
40.06	2.0199	emotion	2.0199	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0683	2.3374000000000024	emotion	2.3374000000000024	right	correct	n/a	male	black	black	black	anger
50.0765	1.5560999999999936	emotion	1.5560999999999936	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0847	1.602800000000002	emotion	1.602800000000002	left	correct	n/a	male	black	black	black	fear
60.093	1.8053999999999988	emotion	1.8053999999999988	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1012	1.3870999999999896	emotion	1.3870999999999896	right	correct	n/a	female	asian	black	asian	fear
70.1094	1.4767000000000081	control	1.4767000000000081	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1177	0.7543000000000006	control	0.7543000000000006	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1259	0.7109999999999985	control	0.7109999999999985	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1341	0.7395999999999958	control	0.7395999999999958	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
90.1424	0.7692000000000121	control	0.7692000000000121	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1506	1.078800000000001	control	1.078800000000001	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.1589	1.9303999999999917	emotion	1.9303999999999917	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1671	1.2660999999999945	emotion	1.2660999999999945	left	correct	n/a	male	black	black	black	anger
110.1753	3.048700000000011	emotion	3.048700000000011	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1836	1.4442999999999984	emotion	1.4442999999999984	left	incorrect	n/a	male	black	black	black	fear
120.1918	1.2780000000000058	emotion	1.2780000000000058	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2	2.3656000000000006	emotion	2.3656000000000006	left	correct	n/a	female	asian	black	asian	anger
130.2083	1.4872000000000014	control	1.4872000000000014	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.2165	1.177899999999994	control	1.177899999999994	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2247	0.7415999999999769	control	0.7415999999999769	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.233	1.1081000000000074	control	1.1081000000000074	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2412	0.8558000000000163	control	0.8558000000000163	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
155.2494	0.8394999999999868	control	0.8394999999999868	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
160.2577	1.7870000000000061	emotion	1.7870000000000061	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2659	1.4437000000000069	emotion	1.4437000000000069	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
170.2742	1.9481999999999857	emotion	1.9481999999999857	right	correct	n/a	male	black	black	black	anger
175.2824	2.9379000000000133	emotion	2.9379000000000133	left	correct	n/a	female	black	asian	asian	anger
180.2906	2.1456000000000017	emotion	2.1456000000000017	right	correct	n/a	male	caucasian	caucasian	white	fear
185.2989	1.900100000000009	emotion	1.900100000000009	right	correct	n/a	female	asian	asian	black	fear
190.3071	1.0959000000000003	control	1.0959000000000003	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3153	1.0504999999999995	control	1.0504999999999995	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
200.3236	0.775100000000009	control	0.775100000000009	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3318	0.7516999999999996	control	0.7516999999999996	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.34	0.6813999999999965	control	0.6813999999999965	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3483	0.8410000000000082	control	0.8410000000000082	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.3565	2.6865999999999985	emotion	2.6865999999999985	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3647	1.9213000000000022	emotion	1.9213000000000022	left	correct	n/a	female	black	asian	asian	fear
230.373	2.522800000000018	emotion	2.522800000000018	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3812	2.4865000000000066	emotion	2.4865000000000066	right	incorrect	n/a	male	black	black	black	fear
240.3894	1.9472000000000094	emotion	1.9472000000000094	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3977	1.9078000000000088	emotion	1.9078000000000088	right	correct	n/a	female	asian	asian	black	anger
