onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0175	1.6342999999999996	control	1.6342999999999996	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
15.0257	1.4059999999999988	control	1.4059999999999988	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.034	1.090600000000002	control	1.090600000000002	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0422	1.116299999999999	control	1.116299999999999	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0505	1.0428999999999995	control	1.0428999999999995	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0588	1.015500000000003	control	1.015500000000003	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.067	2.8001000000000005	emotion	2.8001000000000005	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0753	1.866800000000005	emotion	1.866800000000005	right	correct	n/a	male	black	black	black	anger
50.0836	1.6334000000000017	emotion	1.6334000000000017	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0918	1.8871000000000038	emotion	1.8871000000000038	left	correct	n/a	male	black	black	black	fear
60.1001	4.9756	emotion	4.9756	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1083	2.2454000000000036	emotion	2.2454000000000036	right	correct	n/a	female	asian	black	asian	fear
70.1166	1.1329999999999956	control	1.1329999999999956	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1249	0.6565999999999974	control	0.6565999999999974	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
80.1331	0.7952999999999975	control	0.7952999999999975	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1414	0.7209000000000003	control	0.7209000000000003	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
90.1497	0.9115000000000038	control	0.9115000000000038	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.1579	1.4821000000000026	control	1.4821000000000026	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
100.1662	1.4936999999999898	emotion	1.4936999999999898	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1744	1.2293999999999983	emotion	1.2293999999999983	left	correct	n/a	male	black	black	black	anger
110.1827	1.4390000000000072	emotion	1.4390000000000072	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.191	1.2135999999999996	emotion	1.2135999999999996	left	incorrect	n/a	male	black	black	black	fear
120.1992	1.7002999999999986	emotion	1.7002999999999986	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2075	1.5369000000000028	emotion	1.5369000000000028	left	correct	n/a	female	asian	black	asian	anger
130.2158	1.1055000000000064	control	1.1055000000000064	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.224	0.7513000000000147	control	0.7513000000000147	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2323	1.0067999999999984	control	1.0067999999999984	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2405	1.0705000000000098	control	1.0705000000000098	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
150.2488	0.8131000000000199	control	0.8131000000000199	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.2571	2.101699999999994	control	2.101699999999994	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
160.2653	1.379400000000004	emotion	1.379400000000004	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2736	1.4650000000000034	emotion	1.4650000000000034	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2819	1.255599999999987	emotion	1.255599999999987	right	correct	n/a	male	black	black	black	anger
175.2901	1.8463000000000136	emotion	1.8463000000000136	left	correct	n/a	female	black	asian	asian	anger
180.2984	1.8039000000000271	emotion	1.8039000000000271	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3066	1.4206000000000074	emotion	1.4206000000000074	right	correct	n/a	female	asian	asian	black	fear
190.3149	0.9911999999999921	control	0.9911999999999921	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.3232	0.8277999999999963	control	0.8277999999999963	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3314	0.7324999999999875	control	0.7324999999999875	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3397	0.9821000000000026	control	0.9821000000000026	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.348	0.7226999999999748	control	0.7226999999999748	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
215.3562	1.575400000000002	control	1.575400000000002	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
220.3645	1.7099000000000046	emotion	1.7099000000000046	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3727	1.820699999999988	emotion	1.820699999999988	left	correct	n/a	female	black	asian	asian	fear
230.381	1.6391999999999882	emotion	1.6391999999999882	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3893	2.250799999999998	emotion	2.250799999999998	left	correct	n/a	male	black	black	black	fear
240.3975	1.7554999999999836	emotion	1.7554999999999836	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.4058	2.015199999999993	emotion	2.015199999999993	right	correct	n/a	female	asian	asian	black	anger
