onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0001	2.0	contempt	female	NorthEuropean	F01
12.0011	2.0	contempt	female	NorthEuropean	F01
19.0021	2.0	contempt	female	NorthEuropean	F01
26.0071	2.0	neutral	female	NorthEuropean	F04
33.0081	2.0	contempt	female	Mediterranean	F09
40.0091	2.0	contempt	female	Mediterranean	F06
47.0101	2.0	anger	female	Mediterranean	F09
54.0111	2.0	neutral	female	Mediterranean	F09
61.0121	2.0	neutral	female	NorthEuropean	F03
68.0131	2.0	anger	female	Mediterranean	F06
75.0141	2.0	pride	female	Mediterranean	F06
82.0151	2.0	pride	female	Mediterranean	F09
89.0161	2.0	pride	female	NorthEuropean	F01
96.0171	2.0	anger	female	NorthEuropean	F03
103.0181	2.0	joy	female	Mediterranean	F06
110.0191	2.0	contempt	female	NorthEuropean	F02
117.0201	2.0	joy	female	NorthEuropean	F03
124.0211	2.0	pride	female	NorthEuropean	F04
131.0221	2.0	joy	female	NorthEuropean	F04
138.0231	2.0	contempt	female	NorthEuropean	F03
145.0241	2.0	anger	female	NorthEuropean	F01
152.0251	2.0	joy	female	NorthEuropean	F02
159.0261	2.0	joy	female	NorthEuropean	F01
166.0271	2.0	contempt	female	NorthEuropean	F04
173.0281	2.0	anger	female	NorthEuropean	F04
180.0291	2.0	joy	female	Mediterranean	F09
187.0301	2.0	neutral	female	Mediterranean	F06
194.0311	2.0	neutral	female	NorthEuropean	F01
201.0321	2.0	pride	female	NorthEuropean	F02
208.0331	2.0	neutral	female	NorthEuropean	F02
215.0341	2.0	anger	female	NorthEuropean	F02
222.0351	2.0	contempt	female	NorthEuropean	F01
229.0361	2.0	pride	female	NorthEuropean	F03
