onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0104	3.851099999999999	control	3.851099999999999	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
15.0186	4.029700000000002	control	4.029700000000002	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
20.0267	2.6473999999999975	control	2.6473999999999975	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
25.0349	1.0230999999999995	control	1.0230999999999995	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
30.0431	1.0067000000000021	control	1.0067000000000021	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0513	0.9143000000000043	control	0.9143000000000043	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
40.0594	1.375	emotion	1.375	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0676	1.6536000000000044	emotion	1.6536000000000044	right	correct	n/a	male	black	black	black	anger
50.0758	1.5251999999999981	emotion	1.5251999999999981	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.084	1.8667999999999978	emotion	1.8667999999999978	left	correct	n/a	male	black	black	black	fear
60.0921	1.441600000000001	emotion	1.441600000000001	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1003	2.0260999999999996	emotion	2.0260999999999996	right	correct	n/a	female	asian	black	asian	fear
70.1085	1.0387999999999948	control	1.0387999999999948	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1167	0.6253999999999991	control	0.6253999999999991	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
80.1248	0.5821000000000112	control	0.5821000000000112	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
85.133	0.7537000000000091	control	0.7537000000000091	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
90.1412	0.6293000000000006	control	0.6293000000000006	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.1494	0.6740000000000066	control	0.6740000000000066	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.1575	1.192700000000002	emotion	1.192700000000002	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1657	1.904200000000003	emotion	1.904200000000003	left	correct	n/a	male	black	black	black	anger
110.1739	1.720799999999997	emotion	1.720799999999997	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1821	1.6794000000000011	emotion	1.6794000000000011	right	correct	n/a	male	black	black	black	fear
120.1902	1.2192000000000007	emotion	1.2192000000000007	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.1984	2.7986999999999966	emotion	2.7986999999999966	left	correct	n/a	female	asian	black	asian	anger
130.2066	0.7604000000000042	control	0.7604000000000042	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
135.2148	0.7680000000000007	control	0.7680000000000007	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2229	0.6086999999999989	control	0.6086999999999989	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2311	0.8182999999999936	control	0.8182999999999936	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2393	0.8140000000000214	control	0.8140000000000214	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.2475	0.6576000000000022	control	0.6576000000000022	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
160.2556	1.294300000000021	emotion	1.294300000000021	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2638	1.1887999999999863	emotion	1.1887999999999863	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.272	2.3303999999999974	emotion	2.3303999999999974	right	correct	n/a	male	black	black	black	anger
175.2802	1.3871000000000038	emotion	1.3871000000000038	left	correct	n/a	female	black	asian	asian	anger
180.2883	1.7177000000000078	emotion	1.7177000000000078	right	correct	n/a	male	caucasian	caucasian	white	fear
185.2965	1.0104000000000042	emotion	1.0104000000000042	right	correct	n/a	female	asian	asian	black	fear
190.3047	1.1090000000000089	control	1.1090000000000089	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.3129	0.8675999999999817	control	0.8675999999999817	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.321	1.101300000000009	control	1.101300000000009	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3292	1.148900000000026	control	1.148900000000026	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3374	0.9155999999999835	control	0.9155999999999835	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3456	0.6562000000000126	control	0.6562000000000126	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
220.3537	1.6108999999999867	emotion	1.6108999999999867	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3619	1.3685000000000116	emotion	1.3685000000000116	right	incorrect	n/a	female	black	asian	asian	fear
230.3701	1.6071000000000026	emotion	1.6071000000000026	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3783	1.0147000000000048	emotion	1.0147000000000048	left	correct	n/a	male	black	black	black	fear
240.3864	1.6033999999999935	emotion	1.6033999999999935	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3946	2.1880000000000166	emotion	2.1880000000000166	right	correct	n/a	female	asian	asian	black	anger
