onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.012	1.3035999999999994	control	1.3035999999999994	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0201	1.292300000000001	control	1.292300000000001	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.0283	0.7029999999999994	control	0.7029999999999994	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0365	1.2745999999999995	control	1.2745999999999995	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0447	0.8272000000000013	control	0.8272000000000013	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
35.0529	0.7098999999999975	control	0.7098999999999975	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.0611	1.1454999999999984	emotion	1.1454999999999984	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0693	1.7421000000000006	emotion	1.7421000000000006	right	correct	n/a	male	black	black	black	anger
50.0775	1.290700000000001	emotion	1.290700000000001	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0857	1.3003	emotion	1.3003	left	correct	n/a	male	black	black	black	fear
60.0939	2.2229000000000028	emotion	2.2229000000000028	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.102	1.2436999999999898	emotion	1.2436999999999898	right	correct	n/a	female	asian	black	asian	fear
70.1102	0.6612999999999971	control	0.6612999999999971	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1184	0.45400000000000773	control	0.45400000000000773	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1266	0.5396000000000072	control	0.5396000000000072	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1348	0.5172000000000025	control	0.5172000000000025	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
90.143	1.017799999999994	control	1.017799999999994	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1512	1.0604000000000013	control	1.0604000000000013	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.1594	1.5659999999999883	emotion	1.5659999999999883	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1676	1.3577000000000083	emotion	1.3577000000000083	left	correct	n/a	male	black	black	black	anger
110.1758	1.0853000000000037	emotion	1.0853000000000037	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.184	1.3748999999999967	emotion	1.3748999999999967	right	correct	n/a	male	black	black	black	fear
120.1921	1.6676000000000073	emotion	1.6676000000000073	right	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
125.2003	1.786200000000008	emotion	1.786200000000008	left	correct	n/a	female	asian	black	asian	anger
130.2085	1.049900000000008	control	1.049900000000008	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
135.2167	0.7895000000000039	control	0.7895000000000039	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2249	1.0112000000000023	control	1.0112000000000023	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2331	0.8137999999999863	control	0.8137999999999863	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2413	0.754400000000004	control	0.754400000000004	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
155.2495	1.2089999999999748	control	1.2089999999999748	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2577	2.613599999999991	emotion	2.613599999999991	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2659	1.671199999999999	emotion	1.671199999999999	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.274	3.1799000000000035	emotion	3.1799000000000035	right	correct	n/a	male	black	black	black	anger
175.2822	1.4176000000000215	emotion	1.4176000000000215	left	correct	n/a	female	black	asian	asian	anger
180.2904	1.057299999999998	emotion	1.057299999999998	right	correct	n/a	male	caucasian	caucasian	white	fear
185.2986	1.1418999999999926	emotion	1.1418999999999926	right	correct	n/a	female	asian	asian	black	fear
190.3068	0.7864999999999895	control	0.7864999999999895	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.315	0.7201000000000022	control	0.7201000000000022	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3232	0.6267999999999745	control	0.6267999999999745	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3314	0.9063999999999908	control	0.9063999999999908	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3396	1.1110000000000184	control	1.1110000000000184	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
215.3478	1.2416000000000054	control	1.2416000000000054	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
220.356	1.6632000000000176	emotion	1.6632000000000176	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3641	3.348899999999986	emotion	3.348899999999986	left	correct	n/a	female	black	asian	asian	fear
230.3723	1.8135000000000048	emotion	1.8135000000000048	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3805	1.0591999999999757	emotion	1.0591999999999757	left	correct	n/a	male	black	black	black	fear
240.3887	1.3248000000000104	emotion	1.3248000000000104	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3969	1.7664000000000044	emotion	1.7664000000000044	right	correct	n/a	female	asian	asian	black	anger
